cryptoName,date,open,close,high,low,average,volume,trade_count,vwap,timestamp
BTC/USD,06/19/2021,35205.35,35808.19,36457.37,35133.34,35795.354999999996,1727.799626,82696.0,35733.6236153487,2021-06-19 05:00:00+00:00
BTC/USD,06/20/2021,35806.71,34235.0,36121.12,33343.97,34732.545,2257.007939,84982.0,34696.590792778,2021-06-20 05:00:00+00:00
BTC/USD,06/21/2021,34235.0,32637.33,34554.62,31139.62,32847.12,4929.400458,128507.0,32538.3208830371,2021-06-21 05:00:00+00:00
BTC/USD,06/22/2021,32607.83,33822.39,34393.19,28810.0,31601.595,5373.792731,102194.0,31674.4630464843,2021-06-22 05:00:00+00:00
BTC/USD,06/23/2021,33820.24,32550.98,34835.26,32326.88,33581.07,2555.081469,87708.0,33588.6126404939,2021-06-23 05:00:00+00:00
BTC/USD,06/24/2021,32554.17,34768.44,35500.0,32483.11,33991.555,1908.997015,65912.0,34331.3597483249,2021-06-24 05:00:00+00:00
BTC/USD,06/25/2021,34774.43,32352.11,34884.6,31281.58,33083.09,2718.322078,102219.0,32491.9611218758,2021-06-25 05:00:00+00:00
BTC/USD,06/26/2021,32349.27,33166.36,33330.27,30167.0,31748.635,2823.927711,107573.0,31563.5152345827,2021-06-26 05:00:00+00:00
BTC/USD,06/27/2021,33166.45,34361.9,34984.97,32373.59,33679.28,1949.328076,73027.0,33536.2906115982,2021-06-27 05:00:00+00:00
BTC/USD,06/28/2021,34363.04,34864.02,35300.0,33800.33,34550.165,1727.789541,67848.0,34546.9026685651,2021-06-28 05:00:00+00:00
BTC/USD,06/29/2021,34882.67,34751.43,36625.0,34564.36,35594.68,1830.97139,69463.0,35749.1895568098,2021-06-29 05:00:00+00:00
BTC/USD,06/30/2021,34754.82,34335.13,35339.57,34051.91,34695.740000000005,1615.277597,63529.0,34712.1596421561,2021-06-30 05:00:00+00:00
BTC/USD,07/01/2021,34342.77,33146.55,34467.52,32676.72,33572.119999999995,1886.406823,65565.0,33414.5722574001,2021-07-01 05:00:00+00:00
BTC/USD,07/02/2021,33151.23,33665.62,33914.18,32705.88,33310.03,1453.150917,50689.0,33358.6800292535,2021-07-02 05:00:00+00:00
BTC/USD,07/03/2021,33680.79,34776.65,34954.45,33593.6,34274.024999999994,957.074248,38295.0,34544.7409054024,2021-07-03 05:00:00+00:00
BTC/USD,07/04/2021,34770.74,34209.85,35961.06,34038.61,34999.835,1081.102486,41564.0,35175.275475471,2021-07-04 05:00:00+00:00
BTC/USD,07/05/2021,34208.9,34667.26,34796.71,33139.82,33968.265,1143.564718,45776.0,33909.5181024887,2021-07-05 05:00:00+00:00
BTC/USD,07/06/2021,34677.74,34722.6,35130.98,33526.73,34328.855,1246.636578,51207.0,34157.1373767554,2021-07-06 05:00:00+00:00
BTC/USD,07/07/2021,34726.99,33318.67,35067.69,33058.86,34063.275,1033.147574,42913.0,34067.5751342028,2021-07-07 05:00:00+00:00
BTC/USD,07/08/2021,33316.04,33036.69,33520.14,32102.02,32811.08,1365.608107,55233.0,32758.6344291148,2021-07-08 05:00:00+00:00
BTC/USD,07/09/2021,33031.03,33657.03,34259.55,32621.23,33440.39,909.06038,39233.0,33502.9872650696,2021-07-09 05:00:00+00:00
BTC/USD,07/10/2021,33648.1,33459.62,34190.08,33027.45,33608.765,601.341591,26721.0,33598.0646409235,2021-07-10 05:00:00+00:00
BTC/USD,07/11/2021,33466.51,34297.75,34675.25,33374.43,34024.84,704.534984,30874.0,34121.6382697755,2021-07-11 05:00:00+00:00
BTC/USD,07/12/2021,34305.66,33118.06,34500.39,32662.27,33581.33,1277.919274,56280.0,33291.4820674379,2021-07-12 05:00:00+00:00
BTC/USD,07/13/2021,33120.36,31942.22,33343.92,31661.69,32502.805,1216.904936,58507.0,32526.0196066289,2021-07-13 05:00:00+00:00
BTC/USD,07/14/2021,31942.22,32652.52,33184.29,31577.13,32380.71,918.187402,43646.0,32575.379725149,2021-07-14 05:00:00+00:00
BTC/USD,07/15/2021,32663.45,31913.04,32663.45,31142.56,31903.005,1078.608129,62578.0,31796.9834818055,2021-07-15 05:00:00+00:00
BTC/USD,07/16/2021,31914.64,31395.9,32274.48,31025.01,31649.745,985.364098,59764.0,31708.1318138752,2021-07-16 05:00:00+00:00
BTC/USD,07/17/2021,31394.87,32086.33,32430.32,31264.27,31847.295,789.626368,42933.0,31826.4104354932,2021-07-17 05:00:00+00:00
BTC/USD,07/18/2021,32093.33,31745.48,32140.16,31143.03,31641.595,719.037274,36250.0,31625.9976350587,2021-07-18 05:00:00+00:00
BTC/USD,07/19/2021,31759.93,29667.11,31899.98,29509.14,30704.559999999998,1337.03087,61933.0,30619.9394186298,2021-07-19 05:00:00+00:00
BTC/USD,07/20/2021,29666.06,30697.42,30803.64,29295.61,30049.625,1234.390943,65743.0,29817.545488124,2021-07-20 05:00:00+00:00
BTC/USD,07/21/2021,30698.54,32058.49,32853.53,30559.5,31706.515,1685.076659,50437.0,31781.2266958398,2021-07-21 05:00:00+00:00
BTC/USD,07/22/2021,32062.68,32690.24,32794.53,31727.19,32260.86,844.580569,25429.0,32243.8730338571,2021-07-22 05:00:00+00:00
